date,map,result,kills,deaths,assists,hs,hs_percent,kd,kr,mvps,adr,first_kills,first_deaths,entry_count,entry_wins,rounds_played,overtime,match_duration_min,my_team_score,enemy_team_score,round_difference
2025-10-29 14:26:31,de_dust2,Loss,9,16,3,4,44.0,0.56,0.41,0,45.3,1,0,1,1,22,False,37.5,13,9,4
2025-10-29 13:36:31,de_dust2,Win,27,19,5,12,44.0,1.42,1.12,4,117.0,2,1,3,2,24,False,44.5,13,11,2
2025-10-29 12:52:35,de_mirage,Win,17,11,2,10,59.0,1.55,0.94,4,86.2,2,1,3,2,18,False,28.2,13,5,8
2025-10-29 09:36:53,de_dust2,Win,25,19,3,11,44.0,1.32,1.04,3,98.5,3,1,4,3,24,False,38.3,13,11,2
2025-10-28 12:03:07,de_dust2,Loss,8,18,6,2,25.0,0.44,0.36,2,57.9,2,4,6,2,22,False,33.8,13,9,4
2025-10-28 11:10:30,de_nuke,Loss,25,22,9,10,40.0,1.14,0.83,3,85.2,3,2,5,3,30,True,45.9,14,16,-2
2025-10-27 22:00:59,de_overpass,Loss,9,17,3,4,44.0,0.53,0.47,1,60.0,3,6,9,3,19,False,34.0,13,6,7
2025-10-27 21:06:46,de_inferno,Loss,13,18,3,4,31.0,0.72,0.57,0,64.0,2,3,5,2,23,False,43.2,10,13,-3
2025-10-27 20:27:19,de_inferno,Loss,7,18,4,7,100.0,0.39,0.37,0,54.8,1,6,7,1,19,False,34.7,6,13,-7
2025-10-27 18:19:05,de_inferno,Win,19,17,7,11,58.0,1.12,0.9,4,93.4,2,4,6,2,21,False,37.6,8,13,-5
2025-10-27 17:34:45,de_overpass,Loss,15,16,2,8,53.0,0.94,0.71,1,85.5,2,1,3,2,21,False,35.7,8,13,-5
2025-10-27 03:54:54,de_dust2,Win,19,14,7,12,63.0,1.36,0.86,2,107.5,0,2,2,0,22,False,31.8,9,13,-4
2025-10-27 03:01:12,de_dust2,Win,31,15,2,21,68.0,2.07,1.29,7,113.8,3,1,4,3,24,False,38.8,13,11,2
2025-10-27 02:17:35,de_train,Loss,19,15,4,11,58.0,1.27,0.86,4,92.4,4,3,7,4,22,False,32.7,9,13,-4
2025-10-25 18:05:49,de_nuke,Win,23,22,4,12,52.0,1.05,0.79,2,86.1,5,3,8,5,29,True,50.4,13,16,-3
2025-10-25 17:28:04,de_mirage,Loss,11,16,2,5,45.0,0.69,0.58,1,62.8,1,1,2,1,19,False,31.9,6,13,-7
2025-10-25 15:34:53,de_dust2,Win,16,19,7,7,44.0,0.84,0.7,3,78.1,5,2,7,5,23,False,36.8,10,13,-3
2025-10-25 14:56:54,de_dust2,Loss,19,18,4,12,63.0,1.06,0.86,4,96.2,2,6,8,2,22,False,35.1,9,13,-4
2025-10-24 16:32:24,de_mirage,Loss,12,18,7,7,58.0,0.67,0.57,0,77.8,1,1,2,1,21,False,34.9,13,8,5
2025-10-24 04:51:28,de_overpass,Loss,17,14,4,7,41.0,1.21,0.85,1,84.6,2,3,5,2,20,False,36.7,13,7,6
2025-10-24 04:14:17,de_mirage,Win,13,14,6,9,69.0,0.93,0.68,2,82.5,4,2,6,4,19,False,29.6,6,13,-7
2025-10-24 03:18:51,de_mirage,Loss,15,17,4,9,60.0,0.88,0.65,2,69.4,3,2,5,3,23,False,41.6,10,13,-3
2025-10-22 04:08:37,de_mirage,Loss,15,18,6,5,33.0,0.83,0.65,1,89.5,5,3,8,5,23,False,35.5,13,10,3
2025-10-22 03:25:36,de_dust2,Win,22,19,6,13,59.0,1.16,0.96,2,109.3,5,5,10,5,23,False,40.4,10,13,-3
2025-10-22 02:40:55,de_dust2,Loss,10,17,3,4,40.0,0.59,0.45,1,55.3,1,4,5,1,22,False,34.4,13,9,4
2025-10-21 04:00:29,de_dust2,Win,15,15,6,8,53.0,1.0,0.68,1,74.5,0,4,4,0,22,False,34.5,13,9,4
2025-10-21 03:31:15,de_nuke,Win,16,15,6,8,50.0,1.07,0.89,3,97.8,6,3,9,6,18,False,25.4,13,5,8
2025-10-21 01:54:34,de_train,Win,9,12,5,6,67.0,0.75,0.43,1,59.6,1,6,7,1,21,False,32.2,8,13,-5
2025-10-21 01:10:55,de_mirage,Loss,13,16,5,5,38.0,0.81,0.57,3,59.0,0,1,1,0,23,False,35.1,10,13,-3
2025-10-20 18:04:32,de_overpass,Win,15,14,3,4,27.0,1.07,0.65,3,68.7,1,2,3,1,23,False,40.3,13,10,3
2025-10-16 03:02:48,de_overpass,Win,18,9,2,9,50.0,2.0,1.0,4,96.7,3,2,5,3,18,False,29.6,13,5,8
2025-10-16 02:00:05,de_mirage,Win,18,21,11,10,56.0,0.86,0.6,4,66.0,0,3,3,0,30,True,49.1,16,14,2
2025-10-16 01:10:34,de_mirage,Loss,22,17,4,10,45.0,1.29,0.92,4,94.9,0,3,3,0,24,False,38.3,11,13,-2
2025-10-15 19:03:10,de_mirage,Loss,12,16,3,3,25.0,0.75,0.63,1,74.2,1,3,4,1,19,False,33.6,13,6,7
2025-10-15 18:18:24,de_dust2,Loss,18,15,3,12,67.0,1.2,0.78,4,79.4,1,2,3,1,23,False,37.9,10,13,-3
2025-10-15 02:51:09,de_overpass,Win,14,17,8,8,57.0,0.82,0.7,1,92.0,5,7,12,5,20,False,35.3,7,13,-6
